domain_id,cath_class,architecture,topology,homology,n_residues,pdb_id
1j4sA00,2,100,10,30,149,1j4s
1j5sA02,1,10,2020,10,91,1j5s
1j6rA00,3,40,109,40,197,1j6r
1j78A05,1,10,246,10,60,1j78
1j7gA00,3,50,80,10,144,1j7g
1j7mA00,2,10,10,10,60,1j7m
1j8cA00,3,10,20,90,103,1j8c
1j8mF01,1,20,120,140,87,1j8m
1j9qA01,2,60,40,420,148,1j9q
1ja8A02,3,55,40,20,116,1ja8
1jakA02,3,30,379,10,141,1jak
1jalA03,1,10,150,300,81,1jal
1jb2A00,3,10,450,50,123,1jb2
1jb3A00,2,40,50,120,127,1jb3
1jbiA00,2,170,130,20,100,1jbi
1jbjA02,2,60,40,10,75,1jbj
1jctA02,3,20,20,120,261,1jct
1je3A01,3,30,110,40,73,1je3
1je9A00,2,10,60,10,61,1je9
1jeyA03,4,10,970,10,63,1jey
1jeyA04,1,10,1600,10,94,1jey
1jeyB02,2,40,290,10,201,1jey
1jeyB03,1,10,1600,10,102,1jey
1jf6A03,3,90,400,10,55,1jf6
1jfaB00,1,10,600,10,350,1jfa
1jfiB00,1,10,20,10,135,1jfi
1jfkA02,1,10,238,10,50,1jfk
1jfwA00,4,10,20,10,86,1jfw
1jg5A00,3,30,1410,10,83,1jg5
1jh6A00,3,90,1140,10,181,1jh6
1jhjA00,2,60,120,260,161,1jhj
1ji3A00,3,40,50,1820,388,1ji3
1ji8A02,1,10,10,370,64,1ji8
1jj2A03,4,10,950,10,78,1jj2
1jj2J00,2,40,150,20,132,1jj2
1jjfA00,3,40,50,1820,255,1jjf
1jkwA02,1,10,472,10,101,1jkw
1jl5A00,3,80,10,10,353,1jl5
1jlcB04,3,30,70,270,64,1jlc
1jlxA01,2,80,10,50,159,1jlx
1jmuB04,2,60,120,420,207,1jmu
1jmxA02,2,40,128,120,109,1jmx
1jndA02,3,10,50,10,94,1jnd
1jnrA03,1,20,58,100,121,1jnr
1jnrB01,3,30,70,20,66,1jnr
1jnrB02,6,20,260,10,83,1jnr
1jocA01,1,20,5,390,60,1joc
1jq5A02,1,20,1090,10,206,1jq5
1jqkA02,3,40,50,2030,169,1jqk
1jqkA03,1,20,1270,30,175,1jqk
1jqoA03,1,20,1440,90,137,1jqo
1jqpA01,2,40,128,80,112,1jqp
1jr2A02,3,40,50,10090,140,1jr2
1jr3C02,1,20,272,10,122,1jr3
1jr3D02,1,20,272,10,125,1jr3
1js2A00,4,10,490,10,89,1js2
1js3A01,1,20,1340,10,81,1js3
1jssA00,3,30,530,20,199,1jss
1jsuC00,4,10,365,10,69,1jsu
1jswA02,1,20,200,10,268,1jsw
1jt8A00,2,40,50,140,102,1jt8
1ju3A02,2,60,120,260,218,1ju3
1juvA00,3,40,430,10,193,1juv
1jvmB00,1,10,287,70,100,1jvm
1jw3A00,3,55,10,10,140,1jw3
1jyoA00,3,30,1460,10,130,1jyo
1jyoE00,4,10,1330,10,102,1jyo
1jz8A03,3,20,20,80,291,1jz8
1jzdC00,2,60,40,1250,118,1jzd
1k12A00,2,60,120,260,158,1k12
1k32A01,2,120,10,60,272,1k32
1k32A02,2,130,10,10,350,1k32
1k32A04,2,30,42,10,95,1k32
1k3eB02,3,30,1460,10,105,1k3e
1k4iA00,3,90,870,10,216,1k4i
1k4tA03,3,90,15,10,155,1k4t
1k5mB00,2,60,120,20,270,1k5m
1k70A02,3,20,20,140,307,1k70
1k7wA03,1,10,40,30,72,1k7w
1k87A01,1,20,5,550,52,1k87
1k87A03,3,20,20,220,352,1k87
1k8bA00,3,30,30,50,52,1k8b
1k8iA01,3,10,320,10,77,1k8i
1k8iB01,3,10,320,10,91,1k8i
1k8kD01,3,30,1460,20,151,1k8k
1k8kD02,3,30,1460,20,131,1k8k
1k8kF00,3,30,1460,20,167,1k8k
1ka1A01,3,30,540,10,219,1ka1
1ka1A02,3,40,190,80,135,1ka1
1ka2A00,1,10,1370,30,497,1ka2
1kafD00,3,90,1150,20,104,1kaf
1kblA03,3,50,30,10,125,1kbl
1kbpA02,3,60,21,10,310,1kbp
1kcxA02,3,20,20,140,373,1kcx
1kdqB00,2,40,10,10,95,1kdq
1kf6D00,1,20,1300,10,119,1kf6
1kfdA01,3,30,420,10,219,1kfd
1kfiA04,3,30,310,50,125,1kfi
1kfwA02,3,10,50,10,63,1kfw
1kgyA00,2,60,120,260,181,1kgy
1khcA01,2,30,30,140,65,1khc
1khcA02,1,10,720,50,69,1khc
1khiA01,2,30,30,30,75,1khi
1khmA00,3,30,1370,10,89,1khm
1khvA01,4,10,8,20,59,1khv
1kiuB01,2,60,40,1090,159,1kiu
1kk8B01,1,10,238,10,69,1kk8
1kkxA00,1,10,150,60,102,1kkx
1kliL00,2,10,25,10,61,1kli
1kloA01,2,10,25,10,53,1klo
1kloA02,2,10,25,10,56,1klo
1kmdA00,3,30,1520,10,117,1kmd
1kn3A00,3,90,280,10,180,1kn3
1knxA01,3,40,1390,20,133,1knx
1knyA01,3,30,460,10,125,1kny
1knyA02,1,20,120,330,128,1kny
1knzA01,6,10,280,20,102,1knz
1kooA01,3,30,70,330,97,1koo
1koyA00,1,10,1490,10,62,1koy
1kplA00,1,10,3080,10,430,1kpl
1kptA00,3,30,430,10,105,1kpt
1kqfC00,1,20,950,20,216,1kqf
1krrA00,2,160,10,10,200,1krr
1ks5A00,2,60,120,180,223,1ks5
1ks6A00,2,10,60,10,107,1ks6
1ks9A02,1,10,1040,10,123,1ks9
1ksiA01,3,10,450,40,96,1ksi
1kskA01,3,10,290,10,65,1ksk
1kuxA00,3,40,630,30,166,1kux
1kvbA00,3,30,420,10,155,1kvb
1kvdA00,4,10,420,10,63,1kvd
1kvdB00,3,30,44,10,77,1kvd
1kvkA02,3,30,70,890,148,1kvk
1kvnA00,3,30,56,30,104,1kvn
1kwgA02,3,40,50,880,200,1kwg
1kwgA03,2,60,40,1180,50,1kwg
1kx3D00,1,10,20,10,94,1kx3
1kx3G00,1,10,20,10,106,1kx3
1kx5A00,1,10,20,10,135,1kx5
1kxcA02,2,40,10,10,86,1kxc
1kxlA00,2,40,50,140,187,1kxl
1kxpD02,1,10,246,10,88,1kxp
1kzqA01,2,60,40,1320,129,1kzq
1l0oC00,1,10,10,10,57,1l0o
1l0qA02,2,60,40,10,90,1l0q
1l0wA01,2,40,50,140,106,1l0w
1l1cA00,2,30,24,10,55,1l1c
1l1fA03,1,10,287,140,51,1l1f
1l3gA00,3,10,260,10,123,1l3g
1l3pA00,1,20,120,320,102,1l3p
1l3wA03,2,60,40,60,114,1l3w
1l3wA04,2,60,40,60,106,1l3w
1l5jA01,1,25,40,310,161,1l5j
1l5jA04,3,30,499,10,128,1l5j
1l5oA02,3,40,50,10210,272,1l5o
1l6hA00,1,10,110,10,69,1l6h
1l7yA00,3,10,20,90,94,1l7y
1lajB00,2,60,120,530,182,1laj
1lamA01,3,40,220,10,165,1lam
1lbuA01,1,10,101,10,84,1lbu
1lbuA02,3,30,1380,10,129,1lbu
1lcsA00,3,90,310,10,205,1lcs
1lddA00,1,10,10,10,74,1ldd
1ldjA05,4,10,1030,10,74,1ldj
1lf6A02,1,50,10,10,392,1lf6
1lfwA03,3,30,70,360,88,1lfw
1li1B00,2,170,240,10,227,1li1
1lkoA01,1,20,1260,10,145,1lko
1ll7A02,3,10,50,10,63,1ll7
1ll8A00,3,30,450,20,114,1ll8
1lm0A00,2,40,50,140,101,1lm0
1lm8V01,1,10,750,10,52,1lm8
1lmlA01,3,10,170,20,170,1lml
1lmlA02,3,90,132,10,124,1lml
1lmzA00,1,10,340,30,187,1lmz
1ln1A00,3,30,530,20,203,1ln1
1ln4A00,3,30,110,60,98,1ln4
1lo7A00,3,10,129,10,140,1lo7
1loxA03,3,10,450,60,113,1lox
1lp1A00,1,20,5,420,55,1lp1
1lpbA00,2,10,80,10,85,1lpb
1lq9A00,3,30,70,100,112,1lq9
1lqlA02,3,30,300,20,103,1lql
1lqsL01,1,20,1250,10,100,1lqs
1lqvB00,3,30,500,10,173,1lqv
1lrvA00,1,25,10,10,233,1lrv
1lshA02,1,25,10,20,335,1lsh
1lshB00,2,20,90,10,174,1lsh
1lslA01,2,20,100,10,56,1lsl
1lucB00,3,20,20,30,320,1luc
1lujB01,1,10,10,490,53,1luj
1lvoA02,2,40,10,10,88,1lvo
1lwjA03,2,60,40,1180,50,1lwj
1lwuB02,4,10,530,10,99,1lwu
1lxmA04,2,60,40,1380,76,1lxm
1m06G00,2,60,120,20,187,1m06
1m0sA02,3,30,70,260,72,1m0s
1m1hA02,2,60,320,10,82,1m1h
1m1qA00,1,10,1130,10,90,1m1q
1m2dA00,3,40,30,10,101,1m2d
1m2oA05,3,40,20,10,105,1m2o
1m3yA01,2,70,9,10,188,1m3y
1m3yA02,2,70,9,20,215,1m3y
1m4iB00,3,40,630,30,176,1m4i
1m4uA02,1,10,287,520,59,1m4u
1m4yA00,3,60,20,10,171,1m4y
1m55A00,3,40,1310,20,193,1m55
1m56C01,1,10,287,70,69,1m56
1m56C02,1,20,120,80,196,1m56
1m5sA02,3,30,70,520,146,1m5s
1m5xA00,3,10,28,10,161,1m5x
1m5yA01,1,10,4030,10,124,1m5y
1m6nA05,1,10,1200,230,85,1m6n
1m6uA00,2,60,40,1390,265,1m6u
1m7gC00,3,40,50,300,209,1m7g
1m9nA04,3,40,50,1380,197,1m9n
1m9sA02,2,60,40,1220,79,1m9s
1m9sA05,2,30,30,170,78,1m9s
1mabB01,2,40,10,170,73,1mab
1mdaH00,2,130,10,10,368,1mda
1mepA00,2,40,128,30,119,1mep
1mgrA00,3,10,450,30,97,1mgr
1mhyG01,1,20,1280,10,68,1mhy
1miwA03,1,20,58,560,100,1miw
1mixA01,1,20,80,10,98,1mix
1mjdA00,3,10,20,230,113,1mjd
1mjgM02,3,40,50,2030,184,1mjg
1mjwA00,3,90,80,10,175,1mjw
1mkfA01,2,60,40,1330,199,1mkf
1mkfA02,2,60,40,1340,172,1mkf
1mmnA06,3,30,70,1590,68,1mmn
1mmoB00,1,10,620,20,384,1mmo
1mmuA00,2,70,98,10,339,1mmu
1mnmC00,1,10,10,60,77,1mnm
1mp1A00,1,20,1390,10,111,1mp1
1mpgA03,1,10,1670,10,52,1mpg
1mpxA02,1,10,3020,10,67,1mpx
1mpyA02,3,10,180,10,158,1mpy
1mr1D00,3,10,390,10,96,1mr1
1mswD04,1,10,287,280,78,1msw
1mtpA02,2,30,39,10,91,1mtp
1mtyG02,1,20,1280,30,73,1mty
1mu5A02,1,10,8,50,78,1mu5
1musA01,1,10,246,40,66,1mus
1myrA00,3,20,20,80,499,1myr
1mzbA02,3,30,1490,190,51,1mzb
1mzkA00,2,60,200,20,122,1mzk
1mzvA00,3,40,50,2020,216,1mzv
1n08A00,2,40,30,30,154,1n08
1n0eA00,3,40,1550,20,141,1n0e
1n0uA03,3,90,1430,10,107,1n0u
1n0uA04,3,30,70,870,76,1n0u
1n27A00,2,30,30,140,96,1n27
1n3kA00,1,10,533,10,130,1n3k
1n3tA02,3,30,1130,10,136,1n3t
1n4qB00,1,50,10,20,346,1n4q
1n69B00,1,10,225,10,80,1n69
1n7oA03,2,60,220,10,85,1n7o
1n7sB00,1,20,5,110,68,1n7s
1n81A00,1,10,3030,10,186,1n81
1n88A00,3,30,70,330,96,1n88
1n95A00,1,25,40,120,312,1n95
1n9rB00,2,30,30,100,69,1n9r
1nayB00,1,20,5,320,55,1nay
1nbeB01,3,30,70,140,93,1nbe
1nbuA00,3,30,1130,10,118,1nbu
1nbwB00,3,40,50,10150,113,1nbw
1nd4A02,3,90,1200,10,169,1nd4
1nd6A00,3,40,50,1240,342,1nd6
1nd7A02,3,30,2160,10,80,1nd7
1nd7A03,3,30,2410,10,113,1nd7
1ne3A00,2,40,50,140,68,1ne3
1neeA01,3,30,70,3150,91,1nee
1neiA00,3,30,160,220,60,1nei
1neqA00,1,10,260,40,74,1neq
1nf3C00,2,30,42,10,123,1nf3
1nf8A00,3,40,50,850,207,1nf8
1ng6A02,1,10,10,410,57,1ng6
1ngmJ00,1,20,5,650,53,1ngm
1nh8A02,3,40,190,10,86,1nh8
1nhwA00,3,40,50,720,229,1nhw
1nhwC00,1,10,8,400,60,1nhw
1nijA01,3,40,50,300,201,1nij
1nijA02,3,30,1220,10,116,1nij
1nj8A03,3,30,110,30,61,1nj8
1nkgA01,2,70,98,10,251,1nkg
1nkgA03,2,60,120,260,172,1nkg
1nktA02,3,90,1440,10,122,1nkt
1nlwD00,4,10,280,10,77,1nlw
1nm7A00,2,30,30,40,61,1nm7
1nnvA01,3,10,450,140,100,1nnv
1no5B00,3,30,460,10,102,1no5
1np7B02,1,25,40,80,171,1np7
1np8A00,1,10,238,10,149,1np8
1nsjA00,3,20,20,70,205,1nsj
1nt2B01,3,30,2150,10,71,1nt2
1ntvA00,2,30,29,30,152,1ntv
1nu7D01,1,20,120,750,135,1nu7
1nvmA01,3,20,20,70,270,1nvm
1nvmA02,1,10,8,60,64,1nvm
1nvmB02,3,30,360,10,154,1nvm
1nvpD01,1,10,287,190,51,1nvp
1nwhA02,3,30,360,10,217,1nwh
1ny9A00,1,10,490,50,94,1ny9
1nyaA00,1,10,238,10,176,1nya
1nycA00,2,40,310,10,111,1nyc
1nynA00,3,30,1250,10,111,1nyn
1nztA01,3,30,230,20,119,1nzt
1o0sA02,1,20,1370,30,108,1o0s
1o0uA02,3,40,50,10180,227,1o0u
1o4tA00,2,60,120,10,115,1o4t
1o69A02,3,90,1150,10,141,1o69
1o70A02,2,30,180,10,156,1o70
1o75A02,2,30,30,470,112,1o75
1o75A03,2,60,40,1300,128,1o75
1o7dC01,1,20,1270,50,61,1o7d
1o7dC02,2,60,40,1180,89,1o7d
1o7fA02,1,10,10,10,156,1o7f
1o7iB00,2,40,50,140,114,1o7i
1o82A00,1,20,225,10,70,1o82
1o97D01,3,40,50,620,189,1o97
1o9iA02,3,30,1530,10,63,1o9i
1oaoC01,1,10,8,190,120,1oao
1oaoC03,3,30,1650,10,176,1oao
1odmA00,2,60,120,330,329,1odm
1oe4A00,3,40,470,10,245,1oe4
1of9A00,1,10,225,10,77,1of9
1ogoX01,2,60,350,10,203,1ogo
1ogoX02,2,160,20,10,367,1ogo
1ogpA02,2,60,40,650,127,1ogp
1ogqA00,3,80,10,10,313,1ogq
1oheA01,3,90,190,10,149,1ohe
1oj1A00,3,10,130,10,104,1oj1
1oj7A02,1,20,1090,10,204,1oj7
1ojwB01,2,10,70,10,62,1ojw
1ok0A00,2,60,40,20,74,1ok0
1okcA00,1,50,40,10,292,1okc
1okjA02,3,30,420,40,95,1okj
1okrA02,1,10,4040,10,51,1okr
1oltA02,1,10,10,920,81,1olt
1olzA02,3,30,1680,10,57,1olz
1om2A00,1,20,960,10,95,1om2
1omiA01,2,60,120,10,105,1omi
1on2A01,1,10,10,10,72,1on2
1on2A02,1,10,60,10,63,1on2
1onkB01,2,80,10,50,139,1onk
1oo0A00,3,30,1560,10,144,1oo0
1op1A00,1,20,81,10,82,1op1
1opoA02,2,60,40,1780,103,1opo
1opoC01,2,60,120,20,165,1opo
1oq4A00,1,10,620,20,346,1oq4
1oqlA02,4,10,470,10,81,1oql
1oqlB02,2,80,10,50,124,1oql
1oqvA00,3,30,1690,10,171,1oqv
1or4B00,1,10,490,10,158,1or4
1or5A00,1,10,1200,10,82,1or5
1or7C00,1,10,10,880,66,1or7
1orsC00,1,20,120,350,132,1ors
1otkA00,1,20,1260,10,244,1otk
1otvA00,1,20,910,10,254,1otv
1ou5A02,1,10,3090,10,204,1ou5
1ovmA01,3,40,50,970,184,1ovm
1ow4A00,1,10,238,20,120,1ow4
1oxjA01,1,10,150,50,61,1oxj
1oxjA02,1,25,40,170,109,1oxj
1oy5A02,1,10,1270,20,57,1oy5
1oygA01,2,115,10,20,434,1oyg
1oz9A00,3,40,390,30,141,1oz9
1p1eA00,2,30,42,10,101,1p1e
1p3hB00,2,30,33,40,98,1p3h
1p49A02,1,10,287,550,59,1p49
1p4xA02,1,10,10,10,123,1p4x
1p90A00,3,30,420,130,123,1p90
1p94A00,1,10,1220,10,76,1p94
1p9eA00,3,60,15,10,294,1p9e
1p9mC01,2,60,40,10,100,1p9m
1pbuA00,3,30,70,1010,162,1pbu
1pbyA03,2,60,40,10,76,1pby
1pbyA04,2,60,40,10,131,1pby
1pc0A00,0,0,0,0,0,1pc0
1pc6A00,1,10,3790,10,141,1pc6
1pcfA00,2,30,31,10,66,1pcf
1pd3A00,1,10,287,230,54,1pd3
1pe4A00,3,30,30,10,67,1pe4
1peqA03,1,10,1650,20,53,1peq
1pf5A00,3,30,1330,40,130,1pf5
1pfjA00,2,30,29,30,108,1pfj
1pfsA00,2,40,50,140,78,1pfs
1pgjA02,1,10,1040,10,258,1pgj
1pgl100,2,60,120,20,185,1pgl
1pgsA02,2,60,120,230,175,1pgs
1pgw200,2,60,120,20,351,1pgw
1pi2A00,2,10,69,10,61,1pi2
1pieA02,3,30,70,890,177,1pie
1pixA01,1,20,5,680,58,1pix
1pixA02,3,90,226,10,229,1pix
1pjaA00,3,40,50,1820,268,1pja
1pjqA01,3,40,50,720,112,1pjq
1pjqA03,1,10,8,210,65,1pjq
1pjuA01,3,30,60,30,63,1pju
1pjzA00,3,40,50,150,201,1pjz
1pkhB00,2,70,40,10,175,1pkh
1pkpA02,3,30,230,10,75,1pkp
1pm1X00,2,40,128,20,180,1pm1
1pm6A00,1,10,1660,20,72,1pm6
1pmsA00,2,30,29,30,135,1pms
1pn5A00,1,10,533,10,93,1pn5
1poiA02,3,30,30,40,53,1poi
1poiB00,3,40,1080,10,260,1poi
1poxA01,3,40,50,970,184,1pox
1pp0B00,3,40,198,10,194,1pp0
1pp9J00,1,20,5,260,62,1pp9
1pprM02,1,40,10,10,157,1ppr
1pqsA00,3,10,20,90,77,1pqs
1pqwA00,3,40,50,720,183,1pqw
1pseA00,2,30,30,50,69,1pse
1pujA02,1,10,1580,10,93,1puj
1pv4B01,2,40,50,140,76,1pv4
1pvdA03,3,40,50,970,204,1pvd
1pw4A01,1,20,1250,20,209,1pw4
1pw4A02,1,20,1250,20,212,1pw4
1pwuA04,3,40,390,10,221,1pwu
1pxyA04,1,10,418,10,111,1pxy
1pxyB01,1,10,418,10,123,1pxy
1pyaA00,4,10,510,10,81,1pya
1pytA00,3,30,70,340,94,1pyt
1pyvA00,1,10,10,910,53,1pyv
1pz3A02,3,20,20,80,364,1pz3
1pz4A00,3,30,1050,10,113,1pz4
1pzrA00,6,10,40,10,60,1pzr
1q02A00,1,10,8,10,52,1q02
1q15A01,3,60,20,10,205,1q15
1q16B03,1,10,3650,10,77,1q16
1q25A02,2,70,130,10,156,1q25
1q2lA02,3,30,830,10,231,1q2l
1q2zA00,1,25,40,240,120,1q2z
1q3eA01,1,10,287,630,66,1q3e
1q4tA00,3,10,129,10,142,1q4t
1q57G02,3,40,1360,10,126,1q57
1q5yB00,3,30,70,1150,83,1q5y
1q5zA00,1,10,4110,10,145,1q5z
1q60A00,3,90,1460,10,99,1q60
1q6aA00,1,10,1240,30,107,1q6a
1q7fB00,2,120,10,30,282,1q7f
1q7lA00,3,40,630,10,192,1q7l
1qcxA00,2,160,20,10,359,1qcx
1qexA03,2,60,40,1680,114,1qex
1qguB02,3,40,50,1980,105,1qgu
1qhdA01,2,60,120,170,170,1qhd
1qhhA00,3,40,50,300,164,1qhh
1qhhB01,0,0,0,0,0,1qhh
1qhhB02,0,0,0,0,0,1qhh
1qhhC00,1,10,486,10,102,1qhh
1qhhD01,3,30,160,800,76,1qhh
1qj8A00,2,40,160,20,148,1qj8
1qklA00,3,90,940,10,127,1qkl
1ql0A00,3,40,570,10,241,1ql0
1qlhA02,3,40,50,720,139,1qlh
1qltA03,3,40,462,10,231,1qlt
1qmgA02,1,10,1040,10,293,1qmg
1qmgB01,3,40,50,720,216,1qmg
1qo8A01,3,90,700,10,138,1qo8
1qoyA00,1,20,1170,10,303,1qoy
1qpoA02,3,20,20,70,156,1qpo
1qq3A00,1,20,120,10,106,1qq3
1qqgA01,2,30,29,30,103,1qqg
1qr0A02,3,90,470,20,103,1qr0
1qrjA01,1,10,375,10,118,1qrj
1qsaA01,1,25,20,10,363,1qsa
1qstA00,3,40,630,30,160,1qst
1qtuA00,2,40,15,10,115,1qtu
1qu3A03,1,10,10,830,56,1qu3
1qu3A05,3,30,2320,20,92,1qu3
1qwjB00,3,90,550,10,229,1qwj
1qwvA00,1,10,238,20,142,1qwv
1qwyA01,2,40,50,290,62,1qwy
1qwzA00,2,40,260,10,235,1qwz
1qzgA00,2,40,50,140,170,1qzg
1qzpA00,1,10,950,10,68,1qzp
1qzrA01,3,30,565,10,244,1qzr
1r0vA01,3,40,1350,10,77,1r0v
1r0vA02,3,40,1170,20,75,1r0v
1r17A02,2,60,40,1290,158,1r17
1r1mA00,3,30,1330,60,140,1r1m
1r1uB00,1,10,10,10,93,1r1u
1r3eA01,3,30,2350,10,221,1r3e
1r3fA02,2,30,130,10,65,1r3f
1r44A00,3,30,1380,10,202,1r44
1r4gA00,1,10,8,10,53,1r4g
1r4wA01,3,40,30,10,208,1r4w
1r55A00,3,40,390,10,203,1r55
1r6aA00,3,40,50,150,262,1r6a
1r6bX03,1,10,8,60,88,1r6b
1r6bX05,1,10,8,60,99,1r6b
1r6nA02,2,170,200,10,98,1r6n
1r7aA03,2,20,220,10,62,1r7a
1r7jA00,1,10,10,10,90,1r7j
1r88A00,3,40,50,1820,267,1r88
1r89A02,3,30,460,10,128,1r89
1r8iA00,1,20,58,430,187,1r8i
1r8oA01,0,0,0,0,0,1r8o
1r8oB01,2,30,30,480,66,1r8o
1r9lA02,3,40,190,100,141,1r9l
1rc9A01,3,40,33,10,180,1rc9
1reoA03,1,10,405,10,101,1reo
1reqB01,3,20,20,240,437,1req
1rf8B01,1,20,970,30,69,1rf8
1rh7A02,2,60,40,4230,63,1rh7
1rifA01,3,30,780,20,90,1rif
1rifA02,3,40,50,300,192,1rif
1ripA00,2,40,50,140,81,1rip
1rj1A00,1,20,140,40,148,1rj1
1rjlC00,3,90,930,1,95,1rjl
1rk6A03,3,30,1490,130,57,1rk6
1rkiA01,3,30,70,1650,97,1rki
1rkqA02,3,30,1240,10,107,1rkq
1rkxA01,3,40,50,720,192,1rkx
1rl0A02,4,10,470,10,74,1rl0
1rm6B02,3,30,390,50,107,1rm6
1rmgA00,2,160,20,10,422,1rmg
1rocA00,2,60,40,1490,155,1roc
1rp3A01,1,10,1740,10,85,1rp3
1rq2B02,3,30,1330,20,96,1rq2
1rqpA01,3,40,50,10790,185,1rqp
1rquA01,1,20,5,710,52,1rqu
1rrzA00,1,20,970,20,66,1rrz
1rsoA01,1,10,287,470,51,1rso
1ru3A04,3,40,970,20,89,1ru3
1ru4A00,2,160,20,10,400,1ru4
1ruyH02,3,90,209,20,232,1ruy
1rv9A00,3,60,140,10,242,1rv9
1rwrA00,2,160,20,10,297,1rwr
1rxlA00,2,60,40,1570,143,1rxl
1ry9A00,3,30,1460,10,133,1ry9
1ryuA00,1,10,150,60,120,1ryu
1rzmA01,3,30,70,1140,80,1rzm
1rzuA02,3,40,50,2000,209,1rzu
1s03G02,3,30,1490,10,58,1s03
1s03H01,3,30,1370,30,69,1s03
1s0pA01,1,25,40,330,171,1s0p
1s14B00,3,30,565,10,178,1s14
1s1dA00,2,120,10,100,317,1s1d
1s2mA02,3,40,50,300,172,1s2m
1s2oA02,3,90,1070,10,71,1s2o
1s3iA02,3,10,25,10,102,1s3i
1s3zA00,3,40,630,30,147,1s3z
1s5jA04,1,10,287,690,61,1s5j
1s5lB02,3,10,680,10,173,1s5l
1s5lH00,1,20,5,880,53,1s5l
1s68A02,3,30,470,30,113,1s68
1s6lA01,1,10,10,10,52,1s6l
1s6lA02,3,15,10,60,129,1s6l
1s79A00,3,30,70,330,103,1s79
1s7bA00,1,10,3730,20,106,1s7b
1s7oB00,1,10,10,10,105,1s7o
1sb0A00,1,10,246,20,87,1sb0
1sbnI00,3,30,10,10,63,1sbn
1sdiA00,1,10,3890,10,213,1sdi
1sdwA02,2,60,120,230,151,1sdw
1se9A00,3,10,20,90,101,1se9
1sedA00,1,10,3750,10,112,1sed
1sefA02,2,60,120,10,119,1sef
1sesA02,3,30,930,10,318,1ses
1sfeA01,3,30,160,70,81,1sfe
1sfkA00,1,10,10,930,73,1sfk
1sfpA00,2,60,120,290,111,1sfp
1sg4A01,3,90,226,10,203,1sg4
1sg5A01,2,30,30,400,77,1sg5
1sgjA00,3,20,20,60,231,1sgj
1sgmA00,1,10,357,10,184,1sgm
1sgoA01,3,30,2280,10,108,1sgo
1sgvA02,2,30,130,10,63,1sgv
1shsA00,2,60,40,790,115,1shs
1shuX00,3,40,50,410,181,1shu
1shxA00,2,60,40,420,138,1shx
1sixA00,2,70,40,10,153,1six
1sjrA00,3,30,70,330,108,1sjr
1sk7A00,1,20,910,10,187,1sk7
1sknP00,1,10,880,10,74,1skn
1skoB00,3,30,450,30,116,1sko
1skyB01,2,40,30,20,70,1sky
1skzA02,2,10,22,10,53,1skz
1sm7A00,1,10,110,10,109,1sm7
1smpI00,2,40,128,10,100,1smp
1so3B00,3,20,20,70,215,1so3
1so9A00,2,60,370,10,131,1so9
1sqgA01,1,10,940,10,141,1sqg
1sqpF00,1,10,1090,10,105,1sqp
1sr2A00,1,20,120,160,116,1sr2
1sr4C00,2,80,10,50,154,1sr4
1sr8A02,3,30,2110,10,153,1sr8
1sraA00,1,10,238,10,151,1sra
1ss3A00,1,10,287,720,50,1ss3
1ss6A01,3,30,420,210,65,1ss6
1st0A02,3,30,428,10,191,1st0
1st6A03,1,20,120,810,229,1st6
1stfI00,3,10,450,10,98,1stf
1stmA00,2,60,120,220,141,1stm
1su0B00,3,90,1010,10,136,1su0
1su3A02,2,110,10,10,197,1su3
1sumB02,1,20,58,220,118,1sum
1svpA01,2,40,10,10,65,1svp
1svuA02,3,90,120,10,98,1svu
1sxdA00,1,10,150,50,91,1sxd
1sxjA02,1,10,8,60,72,1sxj
1sxjA03,1,20,272,10,117,1sxj
1sxjB03,1,20,272,10,92,1sxj
1sxjC03,1,20,272,10,95,1sxj
1sxjE02,1,10,8,60,64,1sxj
1sxjE03,1,20,272,10,97,1sxj
1sxrA00,3,40,80,10,173,1sxr
1sz9C00,1,25,40,90,140,1sz9
1szhA01,1,10,150,360,65,1szh
1szhA02,1,10,150,370,82,1szh
1szlA01,2,20,100,10,52,1szl
1sznA02,2,60,40,1180,102,1szn
1t0bA00,3,40,50,880,240,1t0b
1t0iA00,3,40,50,360,185,1t0i
1t0vA01,2,40,128,20,175,1t0v
1t10A02,3,40,50,10490,134,1t10
1t17A00,3,30,530,20,148,1t17
1t1jA00,3,40,50,10400,119,1t1j
1t27A00,3,30,530,20,269,1t27
1t33A02,1,10,357,10,158,1t33
1t3oA01,2,60,40,4380,68,1t3o
1t4lB00,3,30,160,20,90,1t4l
1t4mA00,3,40,50,1820,179,1t4m
1t50A00,1,20,1400,10,58,1t50
1t70A00,3,60,21,10,255,1t70
1t92A01,3,30,700,10,99,1t92
1t9fA00,2,80,10,50,178,1t9f
1ta9B01,3,40,50,1970,152,1ta9
1tafA00,1,10,20,10,68,1taf
1tc3C00,1,10,10,60,51,1tc3
1tdpA00,1,20,1440,50,111,1tdp
1tdqA01,2,60,40,10,94,1tdq
1te4A01,1,25,10,10,89,1te4
1te5A00,3,60,20,10,253,1te5
1te7A00,2,30,130,30,103,1te7
1tedA02,3,40,47,10,149,1ted
1tezA01,3,40,50,620,128,1tez
1tg0A00,2,30,30,40,66,1tg0
1tg7A02,2,102,20,10,181,1tg7
1tg7A03,2,60,390,10,89,1tg7
1tgoA02,3,30,420,10,217,1tgo
